"id","mp_name","party","rebellions","attended","possible","percent"
15730,"Григорій Заболотний","Блок Петра Порошенка",2218,9997,11746,22
15732,"Сергій Мартиняк","група ""Воля народу""",1468,8479,11746,17
15733,"Степан Івахів","група ""Воля народу""",1145,9706,11746,12
15734,"Яків Безбах","Позафракційні",5717,9668,11746,59
15741,"Костянтин Павлов","Опозиційний блок",2746,9814,11746,28
15744,"Артур Мартовицький","Опозиційний блок",5733,10193,11746,56
15756,"Михайло Ланьо","група ""Партія ""Відродження""",1178,7089,11746,17
15757,"Павло Балога","Позафракційні",2744,5688,11746,48
15760,"Олександр Пономарьов","група ""Воля народу""",1931,9396,11746,21
15761,"Володимир Бандуров","група ""Воля народу""",2110,10607,11746,20
15762,"Євген Балицький","Опозиційний блок",1791,8959,11758,20
15767,"Анатолій Дирів","Народний фронт",2840,11372,11746,25
15768,"Юрій Дерев'янко","Позафракційні",3307,9780,11746,34
15769,"Руслан Сольвар","Блок Петра Порошенка",3951,9943,11746,40
15771,"Олександр Онищенко","Позафракційні",861,3144,11746,27
15773,"Ярослав Москаленко","група ""Воля народу""",1728,10711,11746,16
15774,"Павло Різаненко","Блок Петра Порошенка",3729,10813,11746,34
15780,"Сергій Дунаєв","Опозиційний блок",1431,5865,11746,24
15785,"Михайло Хміль","Народний фронт",1981,9856,11746,20
15787,"Ігор Васюник","Народний фронт",2918,11334,11746,26
15790,"Ярослав Дубневич","Блок Петра Порошенка",2379,10864,11746,22
15794,"Артем Ільюк","група ""Партія ""Відродження""",3150,8525,11783,37
15796,"Ігор Бриченко","Народний фронт",1918,11258,11746,17
15799,"Іван Фурсін","група ""Воля народу""",1247,8669,11746,14
15800,"Олександр Пресман","група ""Партія ""Відродження""",688,8431,11783,8
15801,"Сергій Каплін","Блок Петра Порошенка",3127,8496,11746,37
15802,"Юрій Бублик","Позафракційні",2835,8396,11746,34
15803,"Юрій Шаповалов","група ""Партія ""Відродження""",2294,9262,12860,25
15804,"Олег Кулініч","група ""Партія ""Відродження""",4172,7378,11783,57
15806,"Олег Осуховський","Позафракційні",3162,10298,11746,31
15807,"Юрій Вознюк","Народний фронт",1713,10250,11746,17
15810,"Ігор Молоток","група ""Воля народу""",2542,10258,11746,25
15813,"Михайло Головко","Позафракційні",3092,10642,11746,29
15814,"Володимир Мисик","група ""Партія ""Відродження""",1487,4471,11746,33
15815,"Анатолій Денисенко","Позафракційні",2257,5424,11746,42
15816,"Володимир Кацуба","група ""Партія ""Відродження""",970,9100,11831,11
15817,"Віктор Остапчук","група ""Партія ""Відродження""",5949,9686,11783,61
15818,"Дмитро Добкін","Опозиційний блок",863,6552,11746,13
15819,"Євгеній Мураєв","Позафракційні",697,2930,11746,24
15823,"Федір Негой","Блок Петра Порошенка",3486,9633,15222,36
15824,"Сергій Лабазюк","група ""Воля народу""",2258,10372,11746,22
15826,"Віктор Бондар","група ""Партія ""Відродження""",909,9291,11787,10
15827,"Олександр Герега","Позафракційні",3141,8842,11746,36
15828,"Володимир Мельниченко","Блок Петра Порошенка",2795,11565,11746,24
15829,"Геннадій Бобов","група ""Партія ""Відродження""",570,7045,11783,8
15830,"Валентин Ничипоренко","група ""Партія ""Відродження""",980,7663,11783,13
15831,"Микола Федорук","Народний фронт",2860,11405,11746,25
15836,"Віктор Чумак","Позафракційні",4166,9806,11746,42
15837,"Андрій Іллєнко","Позафракційні",2896,9659,11746,30
15838,"Олександр Бригинець","Блок Петра Порошенка",2234,7327,7386,30
15839,"Дмитро Андрієвський","Блок Петра Порошенка",2643,11333,11746,23
15840,"Сергій Куніцин","Блок Петра Порошенка",3207,10692,11722,30
15901,"Геннадій Кривошея","Народний фронт",2683,11193,11746,24
15916,"Андрій Лозовой","Радикальна партія Олега Ляшка",1316,7600,11746,17
15972,"Давид Макар'ян","Блок Петра Порошенка",3517,11164,11722,32
16067,"Ігор Алексєєв","Народний фронт",1518,11338,11746,13
16340,"Дмитро Білоцерковець","Блок Петра Порошенка",1866,7004,7386,27
16430,"Сергій Рудик","Блок Петра Порошенка",3030,9817,11739,31
16517,"Олег Мусій","Позафракційні",4221,10886,11746,39
